player_id,kills,deaths,accuracy,headshot_ratio,reaction_time_ms,movement_speed,reports_from_players,from_location,to_location,time_to_travel_sec,behaviour_note,ground_truth_is_cheater
1,7,9,0.28,0.2,310,4.8,0,A,B,32,"Normal movement, average skills, misses many shots.",0
2,32,1,0.92,0.88,95,8.1,6,A,C,4,"Very high headshot rate, instant lock-on aim, fast movement.",1
3,15,10,0.45,0.4,215,5.4,1,B,C,27,"Skilled but natural aim, still dies often.",0
4,40,0,0.97,0.95,80,9.3,10,A,B,3,"Almost perfect aim, impossible movement speed.",1
5,5,12,0.2,0.1,340,4.1,0,C,B,34,"Casual player, slow reactions, low stats.",0
6,29,3,0.88,0.81,130,7.0,4,A,D,6,High accuracy but still realistic human behaviour.,0
7,38,2,0.95,0.92,90,9.0,12,B,D,2,Suspicious teleport-like movement and perfect aim.,1
8,10,8,0.4,0.33,260,5.2,0,D,A,30,"Balanced behaviour, nothing unusual.",0
9,45,0,0.99,0.98,70,9.8,15,A,C,2,Instant headshots and impossible reaction time.,1
10,12,7,0.5,0.4,200,5.5,1,C,D,25,Looks like a good but fair player.,0
